Key,zh,en,es
TOWERDEFENSE_PLANT_HYPNOPATCH_HANDBOOK_STORY,作为魅惑赛道的明星选手，魅惑菇丛面对僵尸的拥趸总是来者不拒。她常常会向其他蘑菇炫耀自己的“粉丝”，以此彰显自己的魅力，不过那些没头脑的家伙终究还是离她远去了。,,

TOWERDEFENSE_PLANT_SUNFLOWERPEA_NAME,豌豆向日葵,SunflowerPea,SunflowerPea
TOWERDEFENSE_PLANT_SUNFLOWERPEA_EXPRESTION,攻产兼备的植物，梦开始的地方！,,
TOWERDEFENSE_PLANT_SUNFLOWERPEA_HANDBOOK_EXPRESTION,韧性：[color=cc241d]300[/color]\n生产：[color=cc241d]25阳光/25秒[/color]\n威力：[color=cc241d]20/1.5s[/color]\n范围：[color=cc241d]前方一行[/color],,
TOWERDEFENSE_PLANT_SUNFLOWERPEA_HANDBOOK_STORY,杂交植物们来自于和双子向日葵所诞生的同一个实验室。“但这不代表我们就是兄弟了，”双子向日葵说，“他们的诞生简直就是一场恐怖的悲剧！”,,
TOWERDEFENSE_PLANT_SUNFLOWERPEA_CUSTOM_1_NAME,天使与恶魔,,
TOWERDEFENSE_PLANT_SUNFLOWERPEA_CUSTOM_1_ACCESS,每日挑战 2025/6月 累计完成4天,,
TOWERDEFENSE_PLANT_SUNFLOWERPEA_CUSTOM_1_STORY,天使与恶魔并不一定针锋相对，有时他们也会并肩而行。,,

TOWERDEFENSE_PLANT_FIRENUT_NAME,火炬坚果,FireNut,FireNut
TOWERDEFENSE_PLANT_FIRENUT_EXPRESTION,防守整活两不误！,,
TOWERDEFENSE_PLANT_FIRENUT_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-1[/color]\n\n韧性：[color=cc241d]4000[/color]\n火焰豌豆：[color=cc241d]40（25%单格溅射火焰伤害）[/color]\n反伤：[color=cc241d]40/1.5s（火焰伤害）[/color]\n特点：[color=cc241d]点燃豌豆为火焰豌豆，火焰豌豆会抵消减速和冻结效果[/color],,
TOWERDEFENSE_PLANT_FIRENUT_HANDBOOK_STORY,坚果热爱烟火，对他而言，各类烟火百玩不厌。“一提到烟花，我便脑袋发热，连身体也变得燥热起来！”也许发热的不只是脑袋——看来他并没有意识到坚果壳属于易燃物。,,
TOWERDEFENSE_PLANT_FIRENUT_CUSTOM_1_NAME,炎头队长,,
TOWERDEFENSE_PLANT_FIRENUT_CUSTOM_1_ACCESS,每日挑战 2025/7月 累计完成7天,,
TOWERDEFENSE_PLANT_FIRENUT_CUSTOM_1_STORY,“宇宙超人，睁开眼睛——”,,

TOWERDEFENSE_PLANT_SUNBOMB_NAME,阳光炸弹,SunBomb,SunBomb
TOWERDEFENSE_PLANT_SUNBOMB_EXPRESTION,能将僵尸转化为阳光！,,
TOWERDEFENSE_PLANT_SUNBOMB_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-2[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]1800[/color]\n范围：[color=cc241d]自身为中心周围1.5格的圆[/color]\n特点：[color=cc241d]被炸死的僵尸变为25阳光[/color]\n,,
TOWERDEFENSE_PLANT_SUNBOMB_HANDBOOK_STORY,在是否要从僵尸身上获取阳光的问题上，阳光炸弹和向日葵有过激烈的争执，但是这并不妨碍她在每周四的下午准时参加阳光爱好者俱乐部。,,
TOWERDEFENSE_PLANT_SUNBOMB_CUSTOM_1_NAME,活力双子,,
TOWERDEFENSE_PLANT_SUNBOMB_CUSTOM_1_ACCESS,每日挑战 2025/7月 累计完成14天,,
TOWERDEFENSE_PLANT_SUNBOMB_CUSTOM_1_STORY,“准备好了吗？接下来我们要让气氛轰到爆！”,,

TOWERDEFENSE_PLANT_SUNMINE_NAME,阳光土豆雷,SunMine,SunMine
TOWERDEFENSE_PLANT_SUNMINE_EXPRESTION,爆炸时提供阳光的免费地雷，需要一点时间来武装自己。,,
TOWERDEFENSE_PLANT_SUNMINE_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-3[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]1800[/color]\n范围：[color=cc241d]单格[/color]\n特点：[color=cc241d]单独使用，需要15秒准备时间，爆炸后获得50阳光[/color],,
TOWERDEFENSE_PLANT_SUNMINE_HANDBOOK_STORY,从僵尸身上获取阳光，不只是阳光炸弹的想法，阳光土豆雷亦有。“我们之间不存在抄袭关系——事实上，阳光俱乐部是我开创的，她是我的成员。”阳光土豆雷如是说道。,,
TOWERDEFENSE_PLANT_SUNMINE_CUSTOM_1_NAME,地雷龟,,
TOWERDEFENSE_PLANT_SUNMINE_CUSTOM_1_ACCESS,每日挑战 2025/7月 累计完成21天,,
TOWERDEFENSE_PLANT_SUNMINE_CUSTOM_1_STORY,暗中观察.jpg,,

TOWERDEFENSE_PLANT_RECACTUS_NAME,双发仙人掌,ReCactus,ReCactus
TOWERDEFENSE_PLANT_RECACTUS_EXPRESTION,双发仙人掌可以一次发射两枚穿透尖刺。,,
TOWERDEFENSE_PLANT_RECACTUS_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-5[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]20×2/1.5s[/color]\n范围：[color=cc241d]前方一行[/color]\n特点1：[color=cc241d]子弹最多穿透3个僵尸，无视二类防具[/color]\n特点2：[color=cc241d]当有空中僵尸时，优先跳起来攻击空中僵尸[/color],,
TOWERDEFENSE_PLANT_RECACTUS_HANDBOOK_STORY,仙人掌热爱拥抱，可她的外表连铠甲鼠都趋之若鹜。“不管人们如何议论，总之我爱她”双发射手说道，“这是我和她的爱情结晶。”,,
TOWERDEFENSE_PLANT_RECACTUS_CUSTOM_1_NAME,西部警长,,
TOWERDEFENSE_PLANT_RECACTUS_CUSTOM_1_ACCESS,每日挑战 2025/7月 累计完成28天,,
TOWERDEFENSE_PLANT_RECACTUS_CUSTOM_1_STORY,“前面的僵尸，你已经在我的通缉令上了！”,,

TOWERDEFENSE_PLANT_SUNSHROOM_NAME,阳光向日葵,SunShroom,SunShroom
TOWERDEFENSE_PLANT_SUNSHROOM_EXPRESTION,会长大的向日葵，阳光产量No.2！,,
TOWERDEFENSE_PLANT_SUNSHROOM_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-6[/color]\n\n韧性：[color=cc241d]300[/color]\n生产：[color=cc241d]25阳光/25秒，长大后变为50阳光/25秒[/color]\n特点：[color=cc241d]需要60秒时间成长[/color],,
TOWERDEFENSE_PLANT_SUNSHROOM_HANDBOOK_STORY,绚丽的帽子给了向日葵更高的颜值，在植物走秀界和服装界一炮走红。当然，他也要回归本质，给植物提供阳光，让他们作战。阳光向日葵这么想着，完全没有听到他身后的植物说：“你挡我们视线了，走开啦！”,,
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_1_NAME,小红帽,,
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_1_ACCESS,0.2版本更新奖励,,
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_1_STORY,“我独自走在~郊外的小路上~”,,
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_2_NAME,夏日时光,,
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_2_ACCESS,商店购买（价格5000）,,
TOWERDEFENSE_PLANT_SUNSHROOM_CUSTOM_2_STORY,撑起遮阳伞，草坪上的向日葵陪你一起度过炎热的盛夏～,,

TOWERDEFENSE_PLANT_CACTUSBLOVER_NAME,仙人三叶草,CactusBlover,CactusBlover
TOWERDEFENSE_PLANT_CACTUSBLOVER_EXPRESTION,万箭齐发！,,
TOWERDEFENSE_PLANT_CACTUSBLOVER_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-7[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]20×20/行[/color]\n范围：[color=cc241d]全场各行[/color]\n特性：[color=C71585]吹退僵尸[/color]\n特点：[color=cc241d]吹退全屏僵尸0.5格（大型僵尸，巨人，车除外），吹走空中小型僵尸（如气球僵尸和多彩气球）和浓雾，并在每行释放20枚尖刺。[/color],,
TOWERDEFENSE_PLANT_CACTUSBLOVER_HANDBOOK_STORY,仙人三叶草喜欢速战速决，尽管吹出一大堆尖刺容易让他肌肉疲劳，但他依然乐此不疲。只是他还要提防三叶仙人掌的碎碎念。,,

TOWERDEFENSE_PLANT_MAGNETNUT_NAME,磁力坚果,MagnetNut,MagnetNut
TOWERDEFENSE_PLANT_MAGNETNUT_EXPRESTION,磁力坚果可以吸走僵尸携带的金属制品。,,
TOWERDEFENSE_PLANT_MAGNETNUT_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-8[/color]\n\n韧性：[color=cc241d]4000[/color]\n特性：[color=C71585]吸取铁器[/color]\n特点：[color=cc241d]吸取自身为中心周围5*5范围最靠近的一个铁器，但需要15秒消除它[/color],,
TOWERDEFENSE_PLANT_MAGNETNUT_HANDBOOK_STORY,“物理学家争论的焦点从来不在于为什么一个坚果能产生金属作用力，”磁力坚果说道，“其实在哲学层面就很好解释了，我思故我在。”磁力坚果坚信自己读完王阳明心学会更有所收获。,,

TOWERDEFENSE_PLANT_PUFFPOT_NAME,小盆菇,PuffPot,PuffPot
TOWERDEFENSE_PLANT_PUFFPOT_EXPRESTION,免费的蘑菇，免费的花盆。,,
TOWERDEFENSE_PLANT_PUFFPOT_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-10[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]20/1.5s[/color]\n范围：[color=cc241d]前方三格[/color]\n特性：[color=C71585]白天会睡觉、可在裸地上承载植物[/color],,
TOWERDEFENSE_PLANT_PUFFPOT_HANDBOOK_STORY,小盆菇因为不想做蘑菇家族里最底层的那个，于是在头上放了一个花盆。“在这个花盆种上高的植物，我就能让植物对我毕恭毕敬了！”\n（这不是狐假虎威吗…）大喷菇想着。,,
TOWERDEFENSE_PLANT_PUFFPOT_CUSTOM_1_NAME,青花瓷,,
TOWERDEFENSE_PLANT_PUFFPOT_CUSTOM_1_ACCESS,每日挑战 2025/8月 累计完成7天,,
TOWERDEFENSE_PLANT_PUFFPOT_CUSTOM_1_STORY,天青色等烟雨，而我在等你~,,

TOWERDEFENSE_PLANT_PEAPOT_NAME,豌豆花盆,PeaPot,PeaPot
TOWERDEFENSE_PLANT_PEAPOT_EXPRESTION,豌豆花盆是你的一道花盆防线！,,
TOWERDEFENSE_PLANT_PEAPOT_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-11[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]20/3s[/color]\n范围：[color=cc241d]前方一行[/color]\n特性：[color=C71585]可在裸地上承载植物[/color],,
TOWERDEFENSE_PLANT_PEAPOT_HANDBOOK_STORY,“我是个花盆，但我也是一株豌豆，是不是很意外？”,,

TOWERDEFENSE_PLANT_CATPOT_NAME,猫砂盆,CatPot,CatPot
TOWERDEFENSE_PLANT_CATPOT_EXPRESTION,这可不是给猫尾草用的？,,
TOWERDEFENSE_PLANT_CATPOT_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-12[/color]\n\n韧性：[color=cc241d]300[/color]\n伤害：[color=cc241d]20×2/1.5s[/color]\n范围：[color=cc241d]全屏追踪[/color]\n特性：[color=C71585]可在裸地上承载植物[/color]\n特点：[color=cc241d]发射的追踪尖刺会无视二类防具[/color],,
TOWERDEFENSE_PLANT_CATPOT_HANDBOOK_STORY,“你也许不知道，”猫尾草说，“我的尾巴才是本体。”她摘掉帽子，里面是空的。于是戴夫往里面填上了土。“叫猫盆就得了，谁再叫猫砂盆我就跟谁急！”,,
TOWERDEFENSE_PLANT_CATPOT_CUSTOM_1_NAME,招财进宝,,
TOWERDEFENSE_PLANT_CATPOT_CUSTOM_1_ACCESS,商店购买（价格8000）,,
TOWERDEFENSE_PLANT_CATPOT_CUSTOM_1_STORY,既是招财猫也是聚宝盆，一盆两用，超“植”选择,,

TOWERDEFENSE_PLANT_CORNTROP_NAME,玉米地刺,Corntrop,Corntrop
TOWERDEFENSE_PLANT_CORNTROP_EXPRESTION,爆胎与黄油玉米的艺术。,,
TOWERDEFENSE_PLANT_CORNTROP_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-13[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]20/1.5s + 20~40*4/1.5s[/color]\n范围：[color=cc241d]自身所在格[/color]\n特性：[color=C71585]爆胎车辆[/color]\n特点：[color=cc241d]对经过的僵尸造成伤害的同时，向上随机位置发射共计4枚玉米粒，有15%概率改为发射4枚黄油。[/color],,
TOWERDEFENSE_PLANT_CORNTROP_HANDBOOK_STORY,戴夫打翻了一罐黄油玉米粒，不小心洒在了地刺上，于是罐头改变了地刺的颜色和尖刺。尽管他现在看起来像一块玉米挞，但僵尸再也不能“脚滑”地轻易通过了。,,

TOWERDEFENSE_PLANT_SUNBEAN_NAME,阳光豆,SunBean,SunBean
TOWERDEFENSE_PLANT_SUNBEAN_EXPRESTION,阳光豆，不占位置的阳光作物，还会长大！,,
TOWERDEFENSE_PLANT_SUNBEAN_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-14[/color]\n\n韧性：[color=cc241d]300[/color]\n生产：[color=cc241d]15阳光/25秒，长大后变为25阳光/25秒[/color]\n特性：[color=C71585]悬浮植物、唤醒本格植物[/color]\n特点：[color=cc241d]需要60秒时间成长[/color],,
TOWERDEFENSE_PLANT_SUNBEAN_HANDBOOK_STORY,阳光豆是坚定的清洁能源支持者。“也许你会想说，太阳能本身不就是清洁能源吗？”阳光豆说，“但这不是重点！重点在于利用率，我们致力于覆盖每一寸可利用的草坪！”,,
TOWERDEFENSE_PLANT_SUNBEAN_CUSTOM_1_NAME,小蜜蜂,,
TOWERDEFENSE_PLANT_SUNBEAN_CUSTOM_1_ACCESS,每日挑战 2025/12月 累计完成21天,,
TOWERDEFENSE_PLANT_SUNBEAN_CUSTOM_1_STORY,左飞飞，右飞飞，辛勤采蜜花丛中~,,

TOWERDEFENSE_PLANT_HYPNOGARLIC_NAME,魅惑大蒜,HypnoGarlic,HypnoGarlic
TOWERDEFENSE_PLANT_HYPNOGARLIC_EXPRESTION,魅惑大蒜可以让僵尸改变前进的路线并将其魅惑。,,
TOWERDEFENSE_PLANT_HYPNOGARLIC_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 1-15[/color]\n\n韧性：[color=cc241d]150[/color]\n特性：[color=C71585]低矮植物、大蒜[/color]\n特点：[color=cc241d]啃咬它的非特殊僵尸会被魅惑+换行[/color],,
TOWERDEFENSE_PLANT_HYPNOGARLIC_HANDBOOK_STORY,大蒜原本是一家油漆厂的工人，只有这里才可以掩盖住他的气味——某一天有个笨手笨脚的家伙打翻了油漆，这使得他失去工作，并且变得五颜六色起来。,,

TOWERDEFENSE_PLANT_GRAVEMINE_NAME,墓碑埋雷者,GraveMine,GraveMine
TOWERDEFENSE_PLANT_GRAVEMINE_EXPRESTION,吞噬墓碑，留下一枚已准备好的阳光土豆雷。,,
TOWERDEFENSE_PLANT_GRAVEMINE_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-1[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]1800（阳光土豆雷）[/color]\n范围：[color=cc241d]自身所在格[/color]\n特性：[color=C71585]吞噬墓碑[/color]\n特点：[color=cc241d]种在墓碑上吞噬墓碑，并在吞噬完后产生一个阳光土豆雷[/color],,
TOWERDEFENSE_PLANT_GRAVEMINE_HANDBOOK_STORY,“每次都是这样，为什么要让我来打扫杂草。”\n“不如你每次都带上我吧，这样就不需要再打扫一遍那个地方了。”土豆地雷对墓碑吞噬者说道。,,
TOWERDEFENSE_PLANT_GRAVEMINE_CUSTOM_1_NAME,施工现场,,
TOWERDEFENSE_PLANT_GRAVEMINE_CUSTOM_1_ACCESS,每日挑战 2025/8月 累计完成14天,,
TOWERDEFENSE_PLANT_GRAVEMINE_CUSTOM_1_STORY,【前方施工，请绕行！】,,

TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_NAME,阳光胆小菇,ScaredySunShroom,ScaredySunShroom
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_EXPRESTION,阳光下成长——但还是胆小。,,
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-2[/color]\n\n韧性：[color=cc241d]300[/color]\n生产：[color=cc241d]15阳光/25秒，长大后变为25阳光/25秒[/color]\n威力：[color=cc241d]20/1.5s，长大后40/1.5s[/color]\n范围：[color=cc241d]前方整行[/color]\n特性：[color=C71585]白天会睡觉[/color]\n特点：[color=cc241d]①需要60秒时间成长\n②3*3范围内有僵尸时，会蹲下无法攻击，但仍会生产阳光[/color],,
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_HANDBOOK_STORY,因为害怕黑暗而让自己的脑袋发光，殊不知僵尸也被吸引过来了。,,
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_CUSTOM_1_NAME,秘制汉堡,,
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_CUSTOM_1_ACCESS,每日挑战 2025/8月 累计完成21天,,
TOWERDEFENSE_PLANT_SCAREDYSUNSHROOM_CUSTOM_1_STORY,胆小菇试图伪装成其他东西，但这套装扮在僵尸眼中似乎更美味了…,,

TOWERDEFENSE_PLANT_ICENUT_NAME,冰冻坚果,Icenut,Icenut
TOWERDEFENSE_PLANT_ICENUT_EXPRESTION,发射冰弹攻击僵尸，被啃碎后冻结附近的僵尸。,,
TOWERDEFENSE_PLANT_ICENUT_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-3[/color]\n\n韧性：[color=cc241d]4000[/color]\n威力：[color=cc241d]20×2/1.5s[/color]\n反伤：[color=cc241d]20/次[/color]\n范围：[color=cc241d]前方一行[/color]\n特点：[color=cc241d]每次发射2枚寒冰豌豆，对命中的僵尸造成15秒减速（不可叠加）[/color]\n亡语：[color=cc241d]冻结3×3范围内的僵尸8秒[/color],,
TOWERDEFENSE_PLANT_ICENUT_HANDBOOK_STORY,坚果从冰箱出来后，赶紧多穿了几件衣服。但让他没想到的是：衣服也被冻住了……,,
TOWERDEFENSE_PLANT_ICENUT_CUSTOM_1_NAME,战神之子,,
TOWERDEFENSE_PLANT_ICENUT_CUSTOM_1_ACCESS,每日挑战 2025/8月 累计完成28天,,
TOWERDEFENSE_PLANT_ICENUT_CUSTOM_1_STORY,他坚信自己有朝一日会成长，变得更加强大可靠。,,

TOWERDEFENSE_PLANT_SNOWSHROOM_NAME,雪花寒冰菇,Snow Shroom,Snow Shroom
TOWERDEFENSE_PLANT_SNOWSHROOM_EXPRESTION,雪花飘飘，北风啸啸！,,
TOWERDEFENSE_PLANT_SNOWSHROOM_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-5[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]50/颗[/color]\n范围：[color=cc241d]全屏[/color]\n特性：[color=C71585]清除火球、白天会睡觉[/color]\n特点：[color=cc241d]①自身不被索敌，在场时随机位置每秒天降50颗寒冰豌豆，持续8秒；\n②消失时释放寒冰菇效果（无法由铲子触发）[/color],,
TOWERDEFENSE_PLANT_SNOWSHROOM_HANDBOOK_STORY,“冬天来了，春天还会远吗？”雪花寒冰菇渴望春天的到来，身为寒带地区的植物，他一年大部分时间里都生活在冰雪世界。也许他并不喜欢寒冷，因为他总会在一年中最温暖的时候拉上自己的好友出去钓鱼。其实他还是寒冰射手的启蒙老师。,,
TOWERDEFENSE_PLANT_SNOWSHROOM_CUSTOM_1_NAME,寒霜剑客,,
TOWERDEFENSE_PLANT_SNOWSHROOM_CUSTOM_1_ACCESS,商店购买（价格8000）,,
TOWERDEFENSE_PLANT_SNOWSHROOM_CUSTOM_1_STORY,特效：[color=cc241d]装扮该皮肤后，雪花寒冰菇召唤的冰弹替换为小型冰剑（仅外观变化，实际伤害和性质不变）[/color]\n雪域孤影，冰扇凝锋。,,

TOWERDEFENSE_PLANT_WINTERMELONSHROOM_NAME,冰瓜大喷菇,WinterMelon Mushroom,WinterMelon Mushroom
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_EXPRESTION,冰瓜大喷菇喷出的气液可以穿透铁丝网门，同时发射一枚冰瓜。,,
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-6[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]（20+80）/2s[/color]\n范围：[color=cc241d]前方六格[/color]\n特性：[color=C71585]白天会睡觉[/color]\n特点：[color=cc241d]①寒冰孢子对范围内所有僵尸造成伤害，附带15秒减速；\n②冰瓜具备1×3范围20%溅射伤害，附带15秒减速[/color],,
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_HANDBOOK_STORY,这个冰瓜条纹的帽子让大喷菇一下变成了蘑菇家族里最特殊的一个，每个蘑菇都在惊讶他的伞盖就像冬天的凉意，给了他们与众不同的感觉…哦不，他要打喷嚏了，大家快躲开，躲开！,,
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_CUSTOM_1_NAME,盛夏特饮,,
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_CUSTOM_1_ACCESS,商店购买（价格5000）,,
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_CUSTOM_1_STORY,纯天然冰镇西瓜汁！只要300阳光！,,

TOWERDEFENSE_PLANT_GARGANTUARSHROOM_NAME,红眼菇,Gargantuar Shroom,Gargantuar Shroom
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_EXPRESTION,当僵尸吃下红眼菇后，会变成一个魅惑的红眼巨人。,,
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-7[/color]\n\n韧性：[color=cc241d]300[/color]\n特性：[color=C71585]白天会睡觉[/color]\n特点：[color=cc241d]吃掉它的僵尸会变成魅惑红眼巨人，巨人锤击伤害为1800（单体）[/color],,
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_HANDBOOK_STORY,这株植物是戴夫活捉了一只红眼巨人研究出来的，他的身上早就没有魅惑菇的半点特征了。在僵尸吃掉红眼菇的时候，那巨人的冤魂便会寄生到那个僵尸里为戴夫战斗…“\n你们在干什么？”豌豆射手打开灯。“这只是一个发霉的魅惑菇而已啦！”,,
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_CUSTOM_1_NAME,科学怪人,,
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_CUSTOM_1_ACCESS,商店购买（价格5000）,,
TOWERDEFENSE_PLANT_GARGANTUARSHROOM_CUSTOM_1_STORY,据说这是用好几个红眼菇拼凑成的…好吧，其实只是万圣节风格的装扮：）,,

TOWERDEFENSE_PLANT_MAGNETMINE_NAME,磁力土豆雷,Magnetic Potato Mine,Magnetic Potato Mine
TOWERDEFENSE_PLANT_MAGNETMINE_EXPRESTION,金属制品聚聚爆！,,
TOWERDEFENSE_PLANT_MAGNETMINE_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-8[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]1800[/color]\n范围：[color=cc241d]单格[/color]\n特点：[color=cc241d]①种下后需要5秒准备时间，出土后触碰僵尸会爆炸；\n②若出土后其3×3范围内存在携带金属防具的僵尸，则立即将范围内所有符合条件的僵尸吸引到自身所在格子，随后爆炸[/color],,
TOWERDEFENSE_PLANT_MAGNETMINE_HANDBOOK_STORY,某天晚上，土豆雷梦见自己获得了把僵尸传送到头顶的超能力…\n他将其视为预言并为此努力，现在这副样子只是其中一种尝试。,,
TOWERDEFENSE_PLANT_MAGNETMINE_CUSTOM_1_NAME,传送节点,,
TOWERDEFENSE_PLANT_MAGNETMINE_CUSTOM_1_ACCESS,商店购买（价格5000）,,
TOWERDEFENSE_PLANT_MAGNETMINE_CUSTOM_1_STORY,搭载了未来世界的磁能传送技术…但说到底也就是磁铁而已。,,

TOWERDEFENSE_PLANT_JALASUNSHROOM_NAME,辣椒阳光菇,Chili Sun Mushroom,Chili Sun Mushroom
TOWERDEFENSE_PLANT_JALASUNSHROOM_EXPRESTION,辣椒阳光菇能生产辣椒阳光，并伴随火焰。,,
TOWERDEFENSE_PLANT_JALASUNSHROOM_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-11[/color]\n\n韧性：[color=cc241d]300[/color]\n生产：[color=cc241d]15~25阳光/25秒（长大前~长大后）[/color]\n威力：[color=cc241d]150，长大后250（均属于火焰伤害）[/color]\n特性：[color=C71585]低矮植物、白天会睡觉[/color]\n特点：[color=cc241d]①需要60秒时间成长；\n②拾取辣椒阳光同时会释放一行的火焰效果[/color],,
TOWERDEFENSE_PLANT_JALASUNSHROOM_HANDBOOK_STORY,辣椒阳光菇患有严重的选择恐惧症，曾经的他每天都在产阳光和打僵尸之间犹豫。“现在我终于学会了两者兼顾——虽然我也不清楚怎么做到的。”,,
TOWERDEFENSE_PLANT_JALASUNSHROOM_CUSTOM_1_NAME,熔岩使魔,,
TOWERDEFENSE_PLANT_JALASUNSHROOM_CUSTOM_1_ACCESS,商店购买（价格8000）,,
TOWERDEFENSE_PLANT_JALASUNSHROOM_CUSTOM_1_STORY,驱使着地狱之火，响应你的召唤而来——,,

TOWERDEFENSE_PLANT_FIRESNOWPEA_NAME,冰火裂荚射手,Ice Fire Splitting Archer,Ice Fire Splitting Archer
TOWERDEFENSE_PLANT_FIRESNOWPEA_EXPRESTION,冰火裂荚射手能向两边同时发射冰豆和火球,,
TOWERDEFENSE_PLANT_FIRESNOWPEA_HANDBOOK_EXPRESTION,[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 2-12[/color]\n\n韧性：[color=cc241d]300[/color]\n威力：[color=cc241d]（20或20×2）/1.5s[/color]\n范围：[color=cc241d]自身所在一整行[/color]\n特点：[color=cc241d]点击该植物可以转换方向[/color],,
TOWERDEFENSE_PLANT_FIRESNOWPEA_HANDBOOK_STORY,“走，去桑拿房！”“不，去冰箱！”冰火裂荚射手每天都在为去哪个房间睡觉而烦恼。\n“不过两个头烤出来的水蒸气确实适合用于桑拿房。”戴夫评价道。,,
TOWERDEFENSE_PLANT_FIRESNOWPEA_CUSTOM_1_NAME,探险双杰,,
TOWERDEFENSE_PLANT_FIRESNOWPEA_CUSTOM_1_ACCESS,商店购买（价格5000）,,
TOWERDEFENSE_PLANT_FIRESNOWPEA_CUSTOM_1_STORY,解谜高手的第一要义：不要混淆冰与火,,

TOWERDEFENSE_PLANT_GLOOMPULT_NAME,忧郁菇投手,Gloompult,Gloompult
TOWERDEFENSE_PLANT_GLOOMPULT_EXPRESTION,忧郁菇变成了投手！,,
